file,index,voice,lang,speaker_id,phrase,length_scale,noise_scale,noise_w_scale,pitch_shift_semitones,snr_db,gain_db,noise_kind,sample_rate,duration_ms
hey_bonsai_synth_0000_ca_ES-upc_ona-medium.wav,0,ca_ES-upc_ona-medium,ca,,Hei Bonsai,0.987,0.724,0.867,0.0,21.99,1.21,white,16000,1000
hey_bonsai_synth_0001_en_US-lessac-medium.wav,1,en_US-lessac-medium,en,,"Hey, Bonsai",1.082,0.758,0.808,-1.8,21.53,-0.29,white,16000,1000
hey_bonsai_synth_0002_es_ES-sharvard-medium.wav,2,es_ES-sharvard-medium,es,1,Hey Bonsai,0.887,0.599,0.862,0.0,20.5,1.64,pink,16000,1000
hey_bonsai_synth_0003_en_US-amy-medium.wav,3,en_US-amy-medium,en,,Hey Bonsai,1.064,0.595,0.784,-1.75,15.25,0.61,pink,16000,1000
hey_bonsai_synth_0004_en_GB-alba-medium.wav,4,en_GB-alba-medium,en,,Hey Bonsai.,1.076,0.615,0.848,0.0,23.34,-2.16,pink,16000,1000
hey_bonsai_synth_0005_es_ES-sharvard-medium.wav,5,es_ES-sharvard-medium,es,0,"Hey, Bonsái",1.101,0.777,0.615,-1.06,21.77,-4.28,white,16000,1000
hey_bonsai_synth_0006_en_US-ryan-medium.wav,6,en_US-ryan-medium,en,,"Hey, Bonsai",0.987,0.657,0.689,1.39,21.0,1.03,white,16000,1000
hey_bonsai_synth_0007_es_ES-davefx-medium.wav,7,es_ES-davefx-medium,es,,Jey Bonsai,0.929,0.626,0.754,1.14,19.61,-1.57,pink,16000,1000
hey_bonsai_synth_0008_ca_ES-upc_ona-medium.wav,8,ca_ES-upc_ona-medium,ca,,"Hey, Bonsai",1.168,0.799,0.613,0.0,18.01,-2.8,pink,16000,1000
hey_bonsai_synth_0009_en_US-lessac-medium.wav,9,en_US-lessac-medium,en,,"Hey, Bonsai",1.175,0.695,0.636,0.0,19.96,2.8,pink,16000,1000
hey_bonsai_synth_0010_es_ES-sharvard-medium.wav,10,es_ES-sharvard-medium,es,1,"Hey, Bonsái",1.107,0.672,0.76,0.0,21.48,-1.85,white,16000,1000
hey_bonsai_synth_0011_en_US-amy-medium.wav,11,en_US-amy-medium,en,,"Hey, Bonsai",1.086,0.738,0.609,-1.78,16.07,2.31,white,16000,1000
hey_bonsai_synth_0012_en_GB-alba-medium.wav,12,en_GB-alba-medium,en,,Hey Bonsai,1.001,0.72,0.745,0.0,23.48,-0.78,white,16000,1000
hey_bonsai_synth_0013_es_ES-sharvard-medium.wav,13,es_ES-sharvard-medium,es,0,Hey Bonsai,0.85,0.752,0.919,-1.85,16.56,-1.62,pink,16000,1000
hey_bonsai_synth_0014_en_US-ryan-medium.wav,14,en_US-ryan-medium,en,,Hey Bonsai,1.119,0.631,0.865,-1.82,19.97,-5.34,white,16000,1000
hey_bonsai_synth_0015_es_ES-davefx-medium.wav,15,es_ES-davefx-medium,es,,Hey Bonsai,0.881,0.688,0.783,0.0,16.86,-5.06,white,16000,1000
hey_bonsai_synth_0016_ca_ES-upc_ona-medium.wav,16,ca_ES-upc_ona-medium,ca,,"Hey, Bonsai",0.962,0.563,0.848,1.02,17.16,-2.38,white,16000,1000
hey_bonsai_synth_0017_en_US-lessac-medium.wav,17,en_US-lessac-medium,en,,Hey Bonsai.,0.989,0.56,0.74,0.0,20.24,-1.87,white,16000,1000
hey_bonsai_synth_0018_es_ES-sharvard-medium.wav,18,es_ES-sharvard-medium,es,1,"Hey, Bonsái",1.086,0.743,0.861,-1.11,23.23,-2.64,pink,16000,1000
hey_bonsai_synth_0019_en_US-amy-medium.wav,19,en_US-amy-medium,en,,Hey Bonsai,0.907,0.7,0.765,0.0,22.64,-4.63,pink,16000,1000
hey_bonsai_synth_0020_en_GB-alba-medium.wav,20,en_GB-alba-medium,en,,Hey Bonsai.,0.851,0.609,0.723,-1.73,15.91,0.52,white,16000,1000
hey_bonsai_synth_0021_es_ES-sharvard-medium.wav,21,es_ES-sharvard-medium,es,0,Hey Bonsai,0.885,0.689,0.7,0.0,15.89,1.88,pink,16000,1000
hey_bonsai_synth_0022_en_US-ryan-medium.wav,22,en_US-ryan-medium,en,,Hey Bonsai,1.177,0.657,0.91,0.0,23.78,-4.13,pink,16000,1000
hey_bonsai_synth_0023_es_ES-davefx-medium.wav,23,es_ES-davefx-medium,es,,"Hey, Bonsái",1.021,0.703,0.743,-1.39,17.52,-5.1,pink,16000,1000
hey_bonsai_synth_0024_ca_ES-upc_ona-medium.wav,24,ca_ES-upc_ona-medium,ca,,Hey Bonsai,0.896,0.72,0.645,-1.5,15.18,0.54,pink,16000,1000
hey_bonsai_synth_0025_en_US-lessac-medium.wav,25,en_US-lessac-medium,en,,Hey Bonsai.,1.03,0.742,0.636,0.0,22.35,-0.85,white,16000,1000
hey_bonsai_synth_0026_es_ES-sharvard-medium.wav,26,es_ES-sharvard-medium,es,1,Jey Bonsai,1.121,0.704,0.72,1.94,20.32,-2.19,pink,16000,1000
hey_bonsai_synth_0027_en_US-amy-medium.wav,27,en_US-amy-medium,en,,Hey Bonsai,1.007,0.708,0.682,0.0,17.56,-3.18,pink,16000,1000
hey_bonsai_synth_0028_en_GB-alba-medium.wav,28,en_GB-alba-medium,en,,Hey Bonsai,1.074,0.692,0.784,1.05,23.39,2.49,white,16000,1000
hey_bonsai_synth_0029_es_ES-sharvard-medium.wav,29,es_ES-sharvard-medium,es,0,"Hey, Bonsái",0.96,0.665,0.809,0.0,16.87,-3.32,pink,16000,1000
hey_bonsai_synth_0030_en_US-ryan-medium.wav,30,en_US-ryan-medium,en,,Hey Bonsai,1.16,0.683,0.708,1.59,21.82,-2.91,pink,16000,1000
hey_bonsai_synth_0031_es_ES-davefx-medium.wav,31,es_ES-davefx-medium,es,,"Hey, Bonsái",1.178,0.607,0.693,0.0,15.68,-4.07,pink,16000,1000
